date,quarter,revenue,expenses,profit_margin,cash_flow,arr,mrr,ltv,cac,department
2024-05-02,Q2,1294226.74,784496.09,39.38,478853.14,15530720.92,1294226.74,6597.6,1694.28,Company
2024-05-02,Q2,207799.34,164366.54,20.9,43432.8,2493592.1,207799.34,5841.91,1889.93,Marketing
2024-05-02,Q2,199892.7,171741.24,14.08,28151.45,2398712.35,199892.7,7824.83,1586.99,Product
2024-05-02,Q2,349538.15,260916.78,25.35,88621.38,4194457.82,349538.15,5352.31,1407.25,Engineering
2024-05-02,Q2,326381.2,205157.99,37.14,121223.21,3916574.42,326381.2,5582.51,1514.77,Finance
2024-05-02,Q2,330467.14,268714.22,18.69,61752.92,3965605.73,330467.14,5656.7,1667.87,HR
2024-05-02,Q2,307096.31,247332.93,19.46,59763.38,3685155.68,307096.31,7733.53,1727.89,Sales
2024-06-02,Q2,1356649.09,1019693.91,24.84,320998.57,16279789.08,1356649.09,11790.2,1794.66,Company
2024-06-02,Q2,355522.85,251258.2,29.33,104264.65,4266274.2,355522.85,11803.8,1492.97,Marketing
2024-06-02,Q2,156409.46,121083.15,22.59,35326.31,1876913.53,156409.46,11521.28,1711.85,Product
2024-06-02,Q2,400684.3,309790.8,22.68,90893.5,4808211.63,400684.3,11199.85,1531.34,Engineering
2024-06-02,Q2,383796.55,258912.66,32.54,124883.89,4605558.57,383796.55,10794.03,1983.7,Finance
2024-06-02,Q2,350167.05,213095.89,39.14,137071.16,4202004.56,350167.05,10207.88,1742.27,HR
2024-06-02,Q2,350558.71,257046.1,26.68,93512.61,4206704.54,350558.71,10608.45,1815.41,Sales
2024-07-02,Q3,1343321.56,891532.0,33.63,447006.13,16119858.77,1343321.56,14053.6,1636.27,Company
2024-07-02,Q3,157252.07,108814.53,30.8,48437.54,1887024.82,157252.07,15263.09,1524.3,Marketing
2024-07-02,Q3,331035.45,240870.47,27.24,90164.98,3972425.43,331035.45,15392.78,1596.21,Product
2024-07-02,Q3,204288.8,171688.04,15.96,32600.76,2451465.64,204288.8,15097.52,1491.45,Engineering
2024-07-02,Q3,270758.44,165580.64,38.85,105177.79,3249101.23,270758.44,14508.01,1857.48,Finance
2024-07-02,Q3,351090.62,214691.12,38.85,136399.5,4213087.4,351090.62,12277.75,1961.27,HR
