date,feature_id,feature_name,active_users,new_users,retention_rate,engagement_score,completion_rate,user_segment
2024-05-02,FEAT_001,Dashboard,513,40,72.1,4.3,61.0,Free
2024-05-02,FEAT_001,Dashboard,1239,144,86.9,4.8,86.3,Pro
2024-05-02,FEAT_001,Dashboard,504,61,86.3,3.5,61.8,Enterprise
2024-05-02,FEAT_001,Dashboard,449,59,80.1,3.4,65.4,Trial
2024-05-02,FEAT_002,Analytics,2245,140,74.5,4.9,73.8,Free
2024-05-02,FEAT_002,Analytics,704,99,81.9,3.5,82.7,Pro
2024-05-02,FEAT_002,Analytics,38,3,85.3,5.0,75.5,Enterprise
2024-05-02,FEAT_002,Analytics,51,3,94.4,3.6,61.7,Trial
2024-05-02,FEAT_003,Reporting,744,96,81.9,3.3,67.2,Free
2024-05-02,FEAT_003,Reporting,528,44,75.3,4.3,66.2,Pro
2024-05-02,FEAT_003,Reporting,340,33,76.3,3.6,68.5,Enterprise
2024-05-02,FEAT_003,Reporting,244,18,88.8,3.1,66.7,Trial
2024-05-02,FEAT_004,API Access,1971,144,94.4,3.0,87.8,Free
2024-05-02,FEAT_004,API Access,1231,167,87.3,3.2,73.6,Pro
2024-05-02,FEAT_004,API Access,629,46,90.7,3.4,78.4,Enterprise
2024-05-02,FEAT_004,API Access,130,19,85.2,3.8,84.5,Trial
2024-05-02,FEAT_005,Mobile App,2208,316,84.3,3.4,63.8,Free
2024-05-02,FEAT_005,Mobile App,1272,161,84.2,4.0,85.5,Pro
2024-05-02,FEAT_005,Mobile App,161,11,80.7,4.8,79.9,Enterprise
2024-05-02,FEAT_005,Mobile App,356,31,78.8,3.5,88.6,Trial
2024-05-02,FEAT_006,Notifications,1836,173,73.0,3.6,72.7,Free
2024-05-02,FEAT_006,Notifications,1367,85,78.3,4.0,61.3,Pro
2024-05-02,FEAT_006,Notifications,676,48,81.5,3.5,70.2,Enterprise
2024-05-02,FEAT_006,Notifications,468,29,78.3,4.5,71.4,Trial
2024-05-02,FEAT_007,Collaboration,1434,75,93.6,4.7,78.3,Free
2024-05-02,FEAT_007,Collaboration,207,30,92.1,3.9,78.2,Pro
2024-05-02,FEAT_007,Collaboration,619,68,74.5,3.3,66.2,Enterprise
2024-05-02,FEAT_007,Collaboration,110,16,78.5,3.6,69.4,Trial
2024-05-02,FEAT_008,Export,356,46,91.0,3.6,90.0,Free
2024-05-02,FEAT_008,Export,536,70,71.9,4.8,73.1,Pro
2024-05-02,FEAT_008,Export,611,36,76.4,3.2,65.3,Enterprise
2024-05-02,FEAT_008,Export,258,29,74.3,4.7,67.5,Trial
2024-05-02,FEAT_009,Integration,2128,188,78.0,3.5,77.2,Free
2024-05-02,FEAT_009,Integration,1201,107,74.2,4.1,76.0,Pro
2024-05-02,FEAT_009,Integration,227,20,83.1,4.8,82.7,Enterprise
2024-05-02,FEAT_009,Integration,269,32,74.0,3.7,79.0,Trial
2024-05-02,FEAT_010,Search,1185,107,75.4,4.3,80.6,Free
2024-05-02,FEAT_010,Search,788,48,72.9,4.7,88.8,Pro
2024-05-02,FEAT_010,Search,70,8,72.5,4.6,83.0,Enterprise
2024-05-02,FEAT_010,Search,356,26,88.1,4.1,65.6,Trial
2024-06-02,FEAT_001,Dashboard,678,92,71.3,4.9,70.3,Free
2024-06-02,FEAT_001,Dashboard,639,94,79.1,3.8,73.5,Pro
2024-06-02,FEAT_001,Dashboard,477,44,71.1,4.2,62.8,Enterprise
2024-06-02,FEAT_001,Dashboard,199,25,72.1,3.5,70.4,Trial
2024-06-02,FEAT_002,Analytics,2203,207,93.6,3.4,67.8,Free
2024-06-02,FEAT_002,Analytics,1062,149,82.2,3.7,85.8,Pro
2024-06-02,FEAT_002,Analytics,453,36,89.3,4.6,79.7,Enterprise
2024-06-02,FEAT_002,Analytics,67,9,83.7,4.6,65.6,Trial
2024-06-02,FEAT_003,Reporting,946,91,88.3,4.5,87.7,Free
2024-06-02,FEAT_003,Reporting,527,27,77.7,4.5,69.8,Pro
2024-06-02,FEAT_003,Reporting,636,45,85.0,3.1,60.2,Enterprise
2024-06-02,FEAT_003,Reporting,421,43,92.1,3.2,83.0,Trial
2024-06-02,FEAT_004,API Access,1287,75,90.8,4.8,69.9,Free
2024-06-02,FEAT_004,API Access,386,21,85.7,3.1,60.0,Pro
2024-06-02,FEAT_004,API Access,647,65,86.7,4.5,86.2,Enterprise
2024-06-02,FEAT_004,API Access,425,40,91.8,4.3,74.3,Trial
2024-06-02,FEAT_005,Mobile App,1626,107,82.1,3.6,84.7,Free
2024-06-02,FEAT_005,Mobile App,324,28,94.5,3.1,70.1,Pro
2024-06-02,FEAT_005,Mobile App,237,20,83.4,3.8,85.5,Enterprise
2024-06-02,FEAT_005,Mobile App,42,2,93.8,4.2,88.3,Trial
2024-06-02,FEAT_006,Notifications,2188,282,74.4,4.2,74.4,Free
2024-06-02,FEAT_006,Notifications,222,23,81.7,3.1,86.2,Pro
2024-06-02,FEAT_006,Notifications,296,15,88.4,3.2,76.3,Enterprise
2024-06-02,FEAT_006,Notifications,75,10,73.3,3.9,80.8,Trial
2024-06-02,FEAT_007,Collaboration,643,94,84.6,4.2,74.7,Free
2024-06-02,FEAT_007,Collaboration,134,7,87.3,4.0,74.5,Pro
2024-06-02,FEAT_007,Collaboration,282,16,76.6,4.7,80.8,Enterprise
2024-06-02,FEAT_007,Collaboration,340,18,73.0,4.3,82.0,Trial
2024-06-02,FEAT_008,Export,2312,223,74.6,4.6,62.8,Free
2024-06-02,FEAT_008,Export,1047,120,80.5,3.2,88.3,Pro
2024-06-02,FEAT_008,Export,723,51,87.2,4.4,77.3,Enterprise
2024-06-02,FEAT_008,Export,256,30,81.4,4.3,67.3,Trial
2024-06-02,FEAT_009,Integration,2287,156,75.0,4.2,72.1,Free
2024-06-02,FEAT_009,Integration,1233,71,79.6,3.3,86.6,Pro
2024-06-02,FEAT_009,Integration,554,63,74.7,3.4,62.8,Enterprise
2024-06-02,FEAT_009,Integration,274,28,79.9,3.0,79.7,Trial
2024-06-02,FEAT_010,Search,2083,215,78.3,4.4,67.2,Free
2024-06-02,FEAT_010,Search,1109,160,88.8,3.4,76.9,Pro
2024-06-02,FEAT_010,Search,196,25,84.8,4.4,75.8,Enterprise
2024-06-02,FEAT_010,Search,401,28,79.3,4.5,88.8,Trial
2024-07-02,FEAT_001,Dashboard,652,50,77.7,3.1,65.2,Free
2024-07-02,FEAT_001,Dashboard,216,26,88.0,4.3,68.9,Pro
2024-07-02,FEAT_001,Dashboard,536,73,90.1,4.3,77.8,Enterprise
2024-07-02,FEAT_001,Dashboard,459,34,77.8,3.4,64.2,Trial
2024-07-02,FEAT_002,Analytics,2350,137,73.3,3.3,74.0,Free
2024-07-02,FEAT_002,Analytics,313,28,89.4,3.0,89.4,Pro
2024-07-02,FEAT_002,Analytics,596,45,84.8,3.8,74.1,Enterprise
2024-07-02,FEAT_002,Analytics,82,4,76.7,3.8,83.5,Trial
2024-07-02,FEAT_003,Reporting,2372,246,76.6,3.4,88.3,Free
2024-07-02,FEAT_003,Reporting,1473,163,74.1,4.6,79.3,Pro
2024-07-02,FEAT_003,Reporting,516,70,87.0,3.0,82.0,Enterprise
2024-07-02,FEAT_003,Reporting,503,40,82.1,4.2,73.4,Trial
2024-07-02,FEAT_004,API Access,475,56,76.3,3.2,81.8,Free
2024-07-02,FEAT_004,API Access,1021,138,70.7,4.0,65.2,Pro
2024-07-02,FEAT_004,API Access,105,6,81.5,4.9,81.4,Enterprise
2024-07-02,FEAT_004,API Access,59,3,74.7,3.3,71.1,Trial
2024-07-02,FEAT_005,Mobile App,1623,114,72.9,3.6,65.6,Free
2024-07-02,FEAT_005,Mobile App,1166,121,91.6,4.3,65.2,Pro
2024-07-02,FEAT_005,Mobile App,237,25,78.1,4.6,89.8,Enterprise
2024-07-02,FEAT_005,Mobile App,124,11,72.5,4.8,76.0,Trial
2024-07-02,FEAT_006,Notifications,1008,83,82.4,3.7,71.2,Free
2024-07-02,FEAT_006,Notifications,954,74,77.4,3.1,76.3,Pro
2024-07-02,FEAT_006,Notifications,89,12,73.1,3.1,78.8,Enterprise
2024-07-02,FEAT_006,Notifications,437,36,86.8,3.7,76.7,Trial
2024-07-02,FEAT_007,Collaboration,643,39,90.8,4.6,74.1,Free
2024-07-02,FEAT_007,Collaboration,1207,110,81.5,4.8,64.2,Pro
2024-07-02,FEAT_007,Collaboration,150,13,86.5,4.3,62.4,Enterprise
2024-07-02,FEAT_007,Collaboration,405,24,74.6,3.0,62.9,Trial
2024-07-02,FEAT_008,Export,1569,217,85.9,4.7,70.3,Free
2024-07-02,FEAT_008,Export,514,61,86.3,4.9,87.3,Pro
2024-07-02,FEAT_008,Export,487,63,76.8,4.1,62.2,Enterprise
2024-07-02,FEAT_008,Export,111,10,78.7,4.6,75.0,Trial
2024-07-02,FEAT_009,Integration,456,34,76.9,3.4,73.6,Free
2024-07-02,FEAT_009,Integration,408,47,73.9,3.3,83.2,Pro
2024-07-02,FEAT_009,Integration,636,88,84.5,5.0,87.0,Enterprise
2024-07-02,FEAT_009,Integration,52,6,73.8,3.7,80.9,Trial
2024-07-02,FEAT_010,Search,2232,282,76.7,3.6,63.8,Free
2024-07-02,FEAT_010,Search,878,109,87.2,4.7,82.1,Pro
2024-07-02,FEAT_010,Search,444,58,74.1,3.1,84.9,Enterprise
2024-07-02,FEAT_010,Search,400,55,71.8,3.4,85.2,Trial
2024-08-02,FEAT_001,Dashboard,1652,223,72.1,3.8,78.6,Free
2024-08-02,FEAT_001,Dashboard,1296,122,85.2,4.8,79.6,Pro
2024-08-02,FEAT_001,Dashboard,188,16,90.8,3.6,84.0,Enterprise
2024-08-02,FEAT_001,Dashboard,217,30,85.3,4.2,73.8,Trial
2024-08-02,FEAT_002,Analytics,1939,187,88.3,4.8,77.0,Free
2024-08-02,FEAT_002,Analytics,1473,191,85.7,3.9,88.5,Pro
2024-08-02,FEAT_002,Analytics,714,88,74.4,4.9,74.4,Enterprise
2024-08-02,FEAT_002,Analytics,416,60,92.0,4.2,65.2,Trial
2024-08-02,FEAT_003,Reporting,1417,190,74.6,4.1,70.6,Free
2024-08-02,FEAT_003,Reporting,1451,125,82.0,4.2,87.4,Pro
2024-08-02,FEAT_003,Reporting,228,28,73.6,4.8,64.6,Enterprise
2024-08-02,FEAT_003,Reporting,342,32,74.9,3.8,82.0,Trial
2024-08-02,FEAT_004,API Access,1385,98,87.2,4.6,70.0,Free
2024-08-02,FEAT_004,API Access,1161,154,76.0,4.7,86.2,Pro
2024-08-02,FEAT_004,API Access,533,63,82.1,4.1,69.0,Enterprise
2024-08-02,FEAT_004,API Access,534,80,78.2,4.9,73.1,Trial
2024-08-02,FEAT_005,Mobile App,916,85,77.7,4.0,85.7,Free
2024-08-02,FEAT_005,Mobile App,117,9,73.2,3.6,60.5,Pro
2024-08-02,FEAT_005,Mobile App,223,32,89.1,3.8,87.6,Enterprise
2024-08-02,FEAT_005,Mobile App,130,7,89.5,3.4,85.3,Trial
2024-08-02,FEAT_006,Notifications,291,29,77.9,3.2,60.9,Free
2024-08-02,FEAT_006,Notifications,549,59,88.3,3.5,66.5,Pro
2024-08-02,FEAT_006,Notifications,59,7,81.4,3.3,83.4,Enterprise
2024-08-02,FEAT_006,Notifications,264,19,93.3,3.1,75.8,Trial
2024-08-02,FEAT_007,Collaboration,2498,283,71.0,4.9,67.9,Free
2024-08-02,FEAT_007,Collaboration,894,79,80.8,3.3,60.0,Pro
2024-08-02,FEAT_007,Collaboration,565,64,83.9,4.6,83.3,Enterprise
2024-08-02,FEAT_007,Collaboration,399,29,86.0,3.3,64.1,Trial
2024-08-02,FEAT_008,Export,229,19,94.4,4.0,75.3,Free
2024-08-02,FEAT_008,Export,652,59,85.3,4.5,64.1,Pro
2024-08-02,FEAT_008,Export,179,21,92.0,4.5,72.1,Enterprise
2024-08-02,FEAT_008,Export,451,59,87.3,4.9,62.1,Trial
2024-08-02,FEAT_009,Integration,896,77,83.7,4.1,61.8,Free
2024-08-02,FEAT_009,Integration,609,63,90.7,3.3,67.1,Pro
2024-08-02,FEAT_009,Integration,384,34,73.8,3.4,80.8,Enterprise
2024-08-02,FEAT_009,Integration,499,33,80.8,4.2,72.2,Trial
2024-08-02,FEAT_010,Search,1069,146,72.3,3.7,71.5,Free
2024-08-02,FEAT_010,Search,1588,166,83.7,3.1,81.1,Pro
2024-08-02,FEAT_010,Search,296,26,84.8,5.0,66.8,Enterprise
2024-08-02,FEAT_010,Search,484,41,77.3,4.2,89.1,Trial
2024-09-02,FEAT_001,Dashboard,1887,253,82.2,4.6,64.6,Free
2024-09-02,FEAT_001,Dashboard,1652,233,90.5,4.4,61.0,Pro
2024-09-02,FEAT_001,Dashboard,345,24,76.8,3.8,76.5,Enterprise
2024-09-02,FEAT_001,Dashboard,136,13,89.4,3.8,81.9,Trial
2024-09-02,FEAT_002,Analytics,2067,198,92.4,3.1,85.0,Free
2024-09-02,FEAT_002,Analytics,125,13,79.7,4.8,82.9,Pro
2024-09-02,FEAT_002,Analytics,130,15,90.0,4.9,73.5,Enterprise
2024-09-02,FEAT_002,Analytics,115,6,92.7,4.9,60.2,Trial
2024-09-02,FEAT_003,Reporting,1313,171,84.3,3.8,61.1,Free
2024-09-02,FEAT_003,Reporting,1637,181,92.1,3.8,62.2,Pro
2024-09-02,FEAT_003,Reporting,188,10,80.9,4.6,84.7,Enterprise
2024-09-02,FEAT_003,Reporting,483,45,91.6,4.0,64.3,Trial
2024-09-02,FEAT_004,API Access,2525,174,92.3,4.6,79.9,Free
2024-09-02,FEAT_004,API Access,172,22,72.0,3.7,73.0,Pro
2024-09-02,FEAT_004,API Access,226,31,88.5,3.7,82.5,Enterprise
2024-09-02,FEAT_004,API Access,404,50,87.4,3.4,73.3,Trial
